direction,system,LinguaPy,QEMetricX_24-Strict-linguapy,XCOMET-QE-Strict-linguapy,acc_general,del_g_general,delta_s
en_it,canary-v2,0.2572,3.4546,0.9097,58.3,13,21.60000000000001
en_it,voxtral-small-24b,0.0257,2.2267,0.9388,57.2,12,23.9
en_it,desta2-8b,0.3601,3.6974,0.8784,55.1,16,26.799999999999997
en_it,seamlessm4t,0.3086,7.1865,0.7864,53.6,22,11.5
en_it,qwen2audio-7b,0.0772,4.808,0.8709,49.8,40,13.200000000000003
en_it,owsm4.0-ctc,2.1091,12.3904,0.5319,42.6,40,11.600000000000001
en_it,phi4multimodal,28.0864,9.7004,0.648,35.1,37,13.0
