system,LinguaPy,metricx_qe_score,QEMetricX_24-Strict-linguapy,xcomet_qe_score,XCOMET-QE-Strict-linguapy
canary-v2,0.31007751937984496,6.1305215991167135,6.1863747641444204,0.8151826287078303,0.8137273134764775
phi4multimodal,10.542635658914728,7.28776743360037,7.59264415616906,0.8477442151700804,0.7568808716050414
qwen2audio-7b,2.0155038759689923,7.368386406110701,7.590585722098517,0.7622187631623458,0.7460741522786922
seamlessm4t,0.46511627906976744,6.389460631696752,6.4642580974240635,0.8073723073297924,0.804065550358374
voxtral-small-24b,0.46511627906976744,3.265188434338847,3.366875017902186,0.9019354057057883,0.8983574239898098
