system,LinguaPy,metricx_qe_score,QEMetricX_24-Strict-linguapy,xcomet_qe_score,XCOMET-QE-Strict-linguapy
canary-v2,0.0,4.584982822609952,4.584982822609952,0.8704631070079,0.8704631070079
phi4multimodal,24.336973478939157,7.519221980211888,8.118593504969118,0.9206955544011269,0.7023884376246546
qwen2audio-7b,2.3400936037441498,5.381928581227193,5.594183764177812,0.8507529301641512,0.8316407178335369
seamlessm4t,0.15600624024961,4.53082184491217,4.563412075714091,0.8688644904602615,0.8673783085263929
voxtral-small-24b,0.0,1.7676319683816244,1.7676319683816244,0.947062064630565,0.947062064630565
