system,accent,LinguaPy,metricx_qe_score,QEMetricX_24-Strict-linguapy,xcomet_qe_score,XCOMET-QE-Strict-linguapy
aya_canary-v2,AUSTRALIAN ENGLISH,7.000000000000001,2.3154690150916575,3.8877030317485333,0.9507654631137847,0.8848380464315414
aya_canary-v2,CANADIAN ENGLISH,2.0,3.071970477104187,3.516926152706146,0.916822817698121,0.8971461645513773
aya_canary-v2,ENGLAND ENGLISH,6.0,3.6083547336608173,4.882490322291851,0.8853223472833633,0.8344830259680748
aya_canary-v2,FILIPINO,7.000000000000001,2.6912591141462325,4.161810931563378,0.9268388752639294,0.8628412584960461
aya_canary-v2,GERMAN ENGLISH NON NATIVE SPEAKER,6.0,2.6410628814995287,3.984673974663019,0.9421164482831955,0.8855415242910385
aya_canary-v2,HONG KONG ENGLISH,3.0,3.180673489868641,3.848459884226322,0.8833957807719708,0.8548378597199917
aya_canary-v2,INDIA AND SOUTH ASIA INDIA PAKISTAN SRI LANKA,1.0,3.4999599201232194,3.6953081733733417,0.8678143125772476,0.8641101405024528
aya_canary-v2,IRISH ENGLISH,8.0,2.8180824400484563,4.596839292198419,0.9239153663814068,0.8507234267890453
aya_canary-v2,MALAYSIAN ENGLISH,6.0,3.90332963462919,5.045672914348542,0.8612592767179013,0.8127208462357521
aya_canary-v2,NEW ZEALAND ENGLISH,6.0,2.7538895434886217,3.983074649050832,0.9192843660712242,0.8732117965817452
aya_canary-v2,SCOTTISH ENGLISH,9.0,2.3224513291567566,4.318058862611651,0.9399304080009461,0.8600828033685685
aya_canary-v2,SINGAPOREAN ENGLISH,3.0,2.9171145006641748,3.542423410080373,0.9051244637370109,0.8817676457762719
aya_canary-v2,SOUTHERN AFRICAN SOUTH AFRICA ZIMBABWE NAMIBIA,2.0,2.1670653108507394,2.650435108318925,0.9386940015852452,0.9189429594576359
aya_canary-v2,UNITED STATES ENGLISH,1.0,3.2556384010612964,3.4870715637505056,0.8586419608443976,0.8501305355876684
aya_owsm4.0-ctc,AUSTRALIAN ENGLISH,7.000000000000001,3.407100343108177,4.86449048101902,0.9186524577438832,0.8556659699976444
aya_owsm4.0-ctc,CANADIAN ENGLISH,2.0,3.883130156695843,4.250658433139324,0.8778085872530937,0.8582559475302696
aya_owsm4.0-ctc,ENGLAND ENGLISH,5.0,4.377384326830506,5.58984883069992,0.845424844995141,0.7961229071766138
aya_owsm4.0-ctc,FILIPINO,5.0,3.26319008782506,4.270519780665636,0.9055094605684281,0.8600968885421753
aya_owsm4.0-ctc,GERMAN ENGLISH NON NATIVE SPEAKER,7.000000000000001,2.8644145263731478,4.456473106294871,0.9285394650697708,0.8610385185480118
aya_owsm4.0-ctc,HONG KONG ENGLISH,5.0,4.078346424102783,4.945004683732987,0.8531975241005421,0.8199647697806358
aya_owsm4.0-ctc,INDIA AND SOUTH ASIA INDIA PAKISTAN SRI LANKA,1.0,4.567559812143445,4.704091603830457,0.8044378632307052,0.8027494895458221
aya_owsm4.0-ctc,IRISH ENGLISH,9.0,3.8552073703706267,5.880613983720541,0.8889635519683361,0.8045721028745174
aya_owsm4.0-ctc,MALAYSIAN ENGLISH,6.0,4.8444274015724655,6.143354581743479,0.8205288076400756,0.7635153555870056
aya_owsm4.0-ctc,NEW ZEALAND ENGLISH,6.0,3.3742575419694187,4.511751169040799,0.8858768875896931,0.8468261690437794
aya_owsm4.0-ctc,SCOTTISH ENGLISH,10.0,2.989151577055454,5.109165552556515,0.898789755254984,0.821955391317606
aya_owsm4.0-ctc,SINGAPOREAN ENGLISH,2.0,4.136851813159883,4.6065171450003985,0.8849845603108406,0.8661861488223076
aya_owsm4.0-ctc,SOUTHERN AFRICAN SOUTH AFRICA ZIMBABWE NAMIBIA,2.0,3.272256659939885,3.6742832726985215,0.8840896426141263,0.871344939917326
aya_owsm4.0-ctc,UNITED STATES ENGLISH,5.0,4.4564988155663015,5.193470755964517,0.8253799451887608,0.7952743123471737
