system,accent,LinguaPy,metricx_qe_score,QEMetricX_24-Strict-linguapy,xcomet_qe_score,XCOMET-QE-Strict-linguapy
aya_canary-v2,AUSTRALIAN ENGLISH,0.0,2.0627229207754136,2.0627229207754136,0.8993676045536995,0.8993676045536995
aya_canary-v2,CANADIAN ENGLISH,0.0,2.4355465272068977,2.4355465272068977,0.885244228541851,0.885244228541851
aya_canary-v2,ENGLAND ENGLISH,0.0,2.4206813333183526,2.4206813333183526,0.8892253872752189,0.8892253872752189
aya_canary-v2,FILIPINO,1.0,2.266702879667282,2.4655336940288546,0.876868841946125,0.8686637452244759
aya_canary-v2,GERMAN ENGLISH NON NATIVE SPEAKER,0.0,2.1506425331532957,2.1506425331532957,0.9076509138941765,0.9076509138941765
aya_canary-v2,HONG KONG ENGLISH,1.0,2.153942486047745,2.3657544481754305,0.8954075407981873,0.8890288281440735
aya_canary-v2,INDIA AND SOUTH ASIA INDIA PAKISTAN SRI LANKA,0.0,2.382124498710036,2.382124498710036,0.8664318840205669,0.8664318840205669
aya_canary-v2,IRISH ENGLISH,1.0,1.9482350236177444,2.1005588513612747,0.8896096722781658,0.8884406577050686
aya_canary-v2,MALAYSIAN ENGLISH,0.0,2.740869783759117,2.740869783759117,0.8600004680454731,0.8600004680454731
aya_canary-v2,NEW ZEALAND ENGLISH,1.0,2.3551281368732453,2.5638739216327666,0.8757097382843494,0.8674571873247623
aya_canary-v2,SCOTTISH ENGLISH,0.0,2.0271944389492274,2.0271944389492274,0.9073125931620598,0.9073125931620598
aya_canary-v2,SINGAPOREAN ENGLISH,0.0,2.1872900879383086,2.1872900879383086,0.8799836966395378,0.8799836966395378
aya_canary-v2,SOUTHERN AFRICAN SOUTH AFRICA ZIMBABWE NAMIBIA,0.0,1.9267086689174175,1.9267086689174175,0.9026573121547699,0.9026573121547699
aya_canary-v2,UNITED STATES ENGLISH,0.0,2.404440365731716,2.404440365731716,0.8191547547280789,0.8191547547280789
aya_owsm4.0-ctc,AUSTRALIAN ENGLISH,0.0,2.4203683069348334,2.4203683069348334,0.8759893754124641,0.8759893754124641
aya_owsm4.0-ctc,CANADIAN ENGLISH,0.0,2.629045859873295,2.629045859873295,0.8444200198352337,0.8444200198352337
aya_owsm4.0-ctc,ENGLAND ENGLISH,1.0,2.6478070560842752,2.8592914716154336,0.8580771706998348,0.8501668594777584
aya_owsm4.0-ctc,FILIPINO,1.0,2.775570727586746,2.9744015419483185,0.849069747030735,0.8408646503090859
aya_owsm4.0-ctc,GERMAN ENGLISH NON NATIVE SPEAKER,0.0,2.125168825387955,2.125168825387955,0.8888931977748871,0.8888931977748871
aya_owsm4.0-ctc,HONG KONG ENGLISH,2.0,2.6610572111606596,3.063695112466812,0.8542759615182877,0.8400572890043259
aya_owsm4.0-ctc,INDIA AND SOUTH ASIA INDIA PAKISTAN SRI LANKA,0.0,2.71737029440701,2.71737029440701,0.8282230369746685,0.8282230369746685
aya_owsm4.0-ctc,IRISH ENGLISH,1.0,2.631661633849144,2.7899975675344466,0.8647619497776031,0.8629276628792286
aya_owsm4.0-ctc,MALAYSIAN ENGLISH,1.0,3.131059148311615,3.3730001926422117,0.8133835566043853,0.804616020321846
aya_owsm4.0-ctc,NEW ZEALAND ENGLISH,0.0,2.49210345774889,2.49210345774889,0.8657172100245952,0.8657172100245952
aya_owsm4.0-ctc,SCOTTISH ENGLISH,1.0,2.412711962237954,2.622132767215371,0.890288635790348,0.880576585829258
aya_owsm4.0-ctc,SINGAPOREAN ENGLISH,0.0,2.693822818696499,2.693822818696499,0.8382728482782841,0.8382728482782841
aya_owsm4.0-ctc,SOUTHERN AFRICAN SOUTH AFRICA ZIMBABWE NAMIBIA,0.0,2.546936680227518,2.546936680227518,0.8553590512275696,0.8553590512275696
aya_owsm4.0-ctc,UNITED STATES ENGLISH,0.0,2.8462405881285666,2.8462405881285666,0.8252153967320919,0.8252153967320919
