system,LinguaPy,metricx_qe_score,QEMetricX_24-Strict-linguapy,xcomet_qe_score,XCOMET-QE-Strict-linguapy
canary-v2,15.31322505800464,21.549008397588597,22.175661629078835,0.17864024342662221,0.14960913471618273
phi4multimodal,15.893271461716937,12.801075798176281,14.638141456585195,0.4420786282261553,0.3348918110748057
qwen2audio-7b,7.308584686774942,22.277494756223984,22.454642174553705,0.16389950240363654,0.15203683131877896
seamlessm4t,1.0440835266821344,21.0245426550957,21.0669106478066,0.18925518216673293,0.18747710996672615
voxtral-small-24b,0.9280742459396751,18.05097995618933,18.14441377775022,0.2573818839756797,0.2559130004897639
