system,LinguaPy,metricx_qe_score,QEMetricX_24-Strict-linguapy,xcomet_qe_score,XCOMET-QE-Strict-linguapy
canary-v2,12.091503267973856,17.46320962341003,18.342682779030085,0.285120503006433,0.26554745003874747
phi4multimodal,75.49019607843137,17.104801667282004,20.979250922701716,0.6455319158404189,0.15246877147286547
qwen2audio-7b,1.7973856209150325,12.959558171774047,13.211374828628465,0.4042459334143334,0.39619817855627903
seamlessm4t,0.9803921568627451,17.3156442999645,17.326211210851575,0.30976966649805215,0.3087162128010509
voxtral-small-24b,0.0,10.457943021618073,10.457943021618073,0.5284727185209787,0.5284727185209787
