system,LinguaPy,metricx_qe_score,QEMetricX_24-Strict-linguapy,xcomet_qe_score,XCOMET-QE-Strict-linguapy
canary-v2,0.0,3.8531041061258042,3.8531041061258042,0.8484433914281729,0.8484433914281729
phi4multimodal,4.393063583815029,3.4282559514734787,3.5675208321885568,0.9238250174532736,0.880972583746979
qwen2audio-7b,0.6936416184971098,3.9381054146096885,4.030007296042635,0.8293317695745843,0.825265066093103
seamlessm4t,0.0,2.9504196421603934,2.9504196421603934,0.9097823503734059,0.9097823503734059
voxtral-small-24b,0.11560693641618498,1.8952269650263593,1.922034398772124,0.9366796462435942,0.9355917950499953
