system,LinguaPy,metricx_qe_score,QEMetricX_24-Strict-linguapy,xcomet_qe_score,XCOMET-QE-Strict-linguapy
canary-v2,0.0,3.1680653145187536,3.1680653145187536,0.9017567324917763,0.9017567324917763
phi4multimodal,4.21875,4.825921086012386,4.867332846461795,0.8855605214368552,0.8466089203488082
qwen2audio-7b,2.5,5.61559941645246,5.811678982782178,0.8100137499161064,0.7894784843549132
seamlessm4t,0.0,3.2340676712803544,3.2340676712803544,0.8990163657465018,0.8990163657465018
voxtral-small-24b,0.0,1.6820384281105363,1.6820384281105363,0.9518047420307993,0.9518047420307993
