system,LinguaPy,metricx_qe_score,QEMetricX_24-Strict-linguapy,xcomet_qe_score,XCOMET-QE-Strict-linguapy
canary-v2,0.0,4.163198512453767,4.163198512453767,0.8657803486885715,0.8657803486885715
phi4multimodal,4.872389791183294,3.5110652720914364,3.8985395218891776,0.9228704230829624,0.8745954134209803
qwen2audio-7b,2.2041763341067284,4.612464438008875,4.984502952606385,0.8211559057495019,0.8077916414358085
seamlessm4t,0.0,3.615220847373219,3.615220847373219,0.894806272918553,0.894806272918553
voxtral-small-24b,0.0,2.1276472264472956,2.1276472264472956,0.9405447927297129,0.9405447927297129
