system,LinguaPy,metricx_qe_score,QEMetricX_24-Strict-linguapy,xcomet_qe_score,XCOMET-QE-Strict-linguapy
canary-v2,0.0,3.930937248397861,3.930937248397861,0.8450537505917824,0.8450537505917824
phi4multimodal,0.2958579881656805,2.8059038921926147,2.8532457212371938,0.9048435592461797,0.9024707454218138
qwen2audio-7b,1.3313609467455623,4.378764060166108,4.595245475820183,0.781937216298335,0.7763600295255259
seamlessm4t,0.0,3.6083480936183028,3.6083480936183028,0.8707678711535023,0.8707678711535023
voxtral-small-24b,0.2958579881656805,2.2836278621437986,2.3560407987889453,0.9160569138913113,0.9131503198406047
