system,LinguaPy,metricx_qe_score,QEMetricX_24-Strict-linguapy,xcomet_qe_score,XCOMET-QE-Strict-linguapy
canary-v2,0.3303964757709251,4.106644404485888,4.171865079765277,0.8376730783690702,0.8357012692166057
phi4multimodal,3.0837004405286343,3.2675284295453637,3.4289197702338257,0.9063966261296807,0.8765026187351884
qwen2audio-7b,0.881057268722467,4.000261963595378,4.155994363161961,0.8173106363830915,0.8128728881880378
seamlessm4t,0.0,3.2680308432338783,3.2680308432338783,0.8892442227591502,0.8892442227591502
voxtral-small-24b,0.0,1.898863704850495,1.898863704850495,0.9332675442165215,0.9332675442165215
